,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
Gm13231.8,0.745315338,0.01446685,0.002,0.002,1,8,Gm13231
E130006D01Rik.8,0.745387702,0.018583168,0.002,0.002,1,8,E130006D01Rik
Dgcr8.8,0.745397377,0.066957624,0.024,0.022,1,8,Dgcr8
Bccip.8,0.74614047,0.264717415,0.138,0.145,1,8,Bccip
Gm34934.8,0.746220556,0.003591927,0.005,0.006,1,8,Gm34934
Acrbp.8,0.746618639,0.020186181,0.008,0.009,1,8,Acrbp
Dhx15.8,0.746828591,0.340105713,0.222,0.249,1,8,Dhx15
Bms1.8,0.747060846,0.272732074,0.134,0.151,1,8,Bms1
B930036N10Rik.8,0.748190856,0.059402795,0.005,0.006,1,8,B930036N10Rik
Maoa.8,0.748459134,0.16158186,0.043,0.042,1,8,Maoa
Gm48796.8,0.748539697,0.02769166,0.005,0.004,1,8,Gm48796
Celf5.8,0.748818116,0.030872497,0.005,0.006,1,8,Celf5
Ethe1.8,0.749042193,0.10379806,0.043,0.047,1,8,Ethe1
Rev1.8,0.749242482,0.117051861,0.042,0.04,1,8,Rev1
Celf4.8,0.749516513,0.026045689,0.013,0.011,1,8,Celf4
Eda2r.8,0.749717572,0.037727616,0.016,0.018,1,8,Eda2r
Ttc32.8,0.749979738,0.029842262,0.027,0.03,1,8,Ttc32
Sytl4.8,0.751184159,0.055578818,0.013,0.012,1,8,Sytl4
Snx1.8,0.752764536,0.325552317,0.194,0.213,1,8,Snx1
Wdr5.8,0.752842813,0.13204434,0.054,0.059,1,8,Wdr5
Hells.8,0.75321405,0.066335217,0.027,0.026,1,8,Hells
Gtpbp10.8,0.753315143,0.030476155,0.014,0.013,1,8,Gtpbp10
Ccdc189.8,0.753873314,0.021778185,0.008,0.007,1,8,Ccdc189
1700022I11Rik.8,0.754014755,-0.006750511,0.005,0.006,1,8,1700022I11Rik
