,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
Cpt1c.9,0.800182203,0.067034614,0.079,0.084,1,9,Cpt1c
Usp46.9,0.800522953,0.08957925,0.085,0.084,1,9,Usp46
Tspyl3.9,0.800557661,0.024330168,0.013,0.012,1,9,Tspyl3
Tmx4.9,0.800645811,0.078819872,0.12,0.129,1,9,Tmx4
Pfkp.9,0.800702402,0.128265713,0.163,0.167,1,9,Pfkp
Nedd4.9,0.800746207,-0.007631236,0.686,0.735,1,9,Nedd4
Hoxc5.9,0.800801119,0.034323782,0.023,0.022,1,9,Hoxc5
Rdh11.9,0.800932838,0.077255294,0.049,0.053,1,9,Rdh11
Uchl5.9,0.801074638,0.117543029,0.085,0.092,1,9,Uchl5
Gm29055.9,0.801212131,-0.006039059,0.003,0.004,1,9,Gm29055
Tmem175.9,0.801272981,0.020251728,0.025,0.026,1,9,Tmem175
Rab11fip5.9,0.801291841,0.049653151,0.085,0.091,1,9,Rab11fip5
Pfn2.9,0.80132437,0.046667998,0.071,0.069,1,9,Pfn2
Alg12.9,0.801502964,0.017391822,0.021,0.023,1,9,Alg12
Tacc2.9,0.801521561,0.113120327,0.163,0.166,1,9,Tacc2
Shank3.9,0.80163645,-0.003273769,0.007,0.007,1,9,Shank3
Acot1.9,0.80167691,0.014310124,0.008,0.007,1,9,Acot1
Slc2a4.9,0.802055499,-0.005637859,0.003,0.004,1,9,Slc2a4
Ddah2.9,0.80208375,0.096693718,0.371,0.4,1,9,Ddah2
Suds3.9,0.802172034,0.079917201,0.112,0.12,1,9,Suds3
Nfatc1.9,0.802227338,0.081034412,0.079,0.084,1,9,Nfatc1
Zfp458.9,0.802290064,-0.001813746,0.007,0.007,1,9,Zfp458
