,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
Gm37653.1,0.001840815,0.014018583,0.011,0.006,1,1,Gm37653
Plek.1,0.00184246,0.003970159,0.014,0.008,1,1,Plek
BC005537.1,0.001846301,-0.06613907,0.527,0.433,1,1,BC005537
1700012D14Rik.1,0.001849381,0.004052867,0.011,0.006,1,1,1700012D14Rik
Asb1.1,0.001851501,-0.021111927,0.037,0.026,1,1,Asb1
Mau2.1,0.001854262,-0.053250374,0.09,0.071,1,1,Mau2
Rhoa.1,0.001857755,-0.068928593,0.534,0.439,1,1,Rhoa
Clcn3.1,0.001861209,-0.067679005,0.078,0.061,1,1,Clcn3
Traf3ip3.1,0.00186557,-0.028966748,0.001,0.005,1,1,Traf3ip3
Ski.1,0.001869771,-0.083448288,0.353,0.29,1,1,Ski
Mul1.1,0.001870672,-0.017455034,0.052,0.038,1,1,Mul1
Slc6a12.1,0.001883325,-0.016495388,0.001,0.005,1,1,Slc6a12
Zfp619.1,0.001884623,0.011174167,0.006,0.003,1,1,Zfp619
Spata1.1,0.00189574,-0.002445966,0.022,0.014,1,1,Spata1
Zmiz2.1,0.001896865,-0.003698051,0.032,0.022,1,1,Zmiz2
Lyst.1,0.001897363,-0.048756626,0.087,0.068,1,1,Lyst
Tap2.1,0.001899857,-0.044589577,0.142,0.115,1,1,Tap2
Dusp3.1,0.00190471,-0.092043476,0.143,0.116,1,1,Dusp3
D130020L05Rik.1,0.001905062,0.00175381,0.015,0.009,1,1,D130020L05Rik
